angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.137797,52.656086,26.3461,52.656086,26.3461,52.6561182386805,26.3460747770119,0.004,0.003,90,69651759518208000,52.65622191400,0.1332,26.34588380812,0.0837,7.1055,0.1457,21.578,0.281,-44.354,0.211,0,2.14749e+03,2.76645e+00,17.358538,2.99872e+02,1.21735e+01,19.159046,3.02647e+03,1.40947e+01,16.059578,3.099468,,,0,,,,,
0.157680,52.79959,25.1651,52.79959,25.1651,52.7996004607362,25.1650571311511,0.002,0.001,90,68956803745067520,52.79970138038,0.0595,25.16486262129,0.0402,7.3745,0.0663,21.215,0.121,-45.176,0.084,0,5.93393e+04,7.05366e+01,13.755009,1.82342e+04,9.68512e+01,14.699172,6.17380e+04,1.44505e+02,12.785538,1.913634,,,0,3844.00,0.1320,0.0593,0.64,0.080
0.183906,52.810955,25.981148,52.810955,25.981148,52.8109629132335,25.9810971727885,0.001,0.001,90,69583456653826048,52.81106720521,0.0404,25.98090418691,0.0260,7.3818,0.0459,21.775,0.079,-44.823,0.059,0,3.07483e+04,2.32236e+01,14.468811,7.87616e+03,2.61577e+01,15.610601,3.46694e+04,6.79424e+01,13.412055,2.198546,,,0,4005.17,0.5860,0.3080,,
0.154778,52.87325,26.503525,52.87325,26.503525,52.8732503090787,26.5034818010141,0.004,0.002,90,69754155834196224,52.87334641675,0.1162,26.50328867114,0.0693,6.9508,0.1159,19.976,0.282,-44.856,0.160,0,3.89395e+03,4.30924e+00,16.712390,5.84780e+02,8.98104e+00,18.433907,5.31957e+03,2.73690e+01,15.447229,2.986677,,,0,3730.35,0.6560,0.3813,,
0.190509,52.890076,26.265507,52.890076,26.265507,52.8901121964298,26.2654651710932,0.002,0.001,90,69643757994608512,52.89021122300,0.0563,26.26528408470,0.0276,6.8126,0.0566,20.625,0.101,-42.059,0.065,0,1.11137e+06,1.25819e+03,10.573719,5.79946e+05,1.94018e+03,10.942920,7.56754e+05,1.83062e+03,10.064533,0.878387,3.58,1.17,9,5462.10,0.1710,0.0840,1.10,0.971
0.276415,53.001957,23.7749,53.001957,23.7749,53.0019801223069,23.7748266434592,0.001,0.001,90,68051390279853824,53.00208051461,0.0309,23.77463852012,0.0190,7.2144,0.0313,21.338,0.071,-43.693,0.044,0,8.86223e+04,1.16909e+02,13.319509,3.10742e+04,1.63749e+02,14.120389,8.40051e+04,3.16818e+02,12.451157,1.669232,,,0,4228.00,0.0460,0.0230,0.58,0.098
0.151459,53.03275,23.232655,53.03275,23.232655,53.0327684537291,23.2326164107228,0.003,0.002,90,67878663874731136,53.03286144733,0.0916,23.23243213127,0.0637,6.9168,0.1121,19.847,0.183,-42.800,0.129,0,6.63049e+03,1.72350e+01,16.134500,1.09315e+03,2.50177e+01,17.754688,8.87900e+03,5.52374e+01,14.891010,2.863678,,,0,4024.29,0.9820,0.5532,,
0.103647,53.0637,26.698545,53.0637,26.698545,53.0637187486377,26.6985210630356,0.002,0.002,90,69763158085629440,53.06383635786,0.0664,26.69831951778,0.0438,7.9000,0.0764,24.403,0.140,-46.811,0.098,0,1.17096e+04,1.09138e+01,15.517011,2.15094e+03,1.42031e+01,17.019820,1.50036e+04,4.87059e+01,14.321430,2.698389,,,0,3816.77,0.6265,0.3733,,
0.182825,53.117847,22.468489,53.117847,22.468489,53.1178916742267,22.4684585536180,0.020,0.014,90,67626184221086976,53.11794512024,0.6945,22.46831733009,0.4495,2.4097,0.7956,11.471,1.315,-32.800,0.893,0,2.15198e+02,1.35385e+00,19.856270,4.48019e+01,5.76135e+00,21.223146,3.33217e+02,9.47061e+00,18.455103,2.768044,,,0,,,,,
0.161432,53.13729,22.303474,53.13729,22.303474,53.1373327576296,22.3034517321372,0.004,0.003,90,67576332537157888,53.13742712076,0.1296,22.30326406765,0.0820,6.8719,0.1410,20.277,0.236,-43.587,0.185,0,2.71886e+03,3.55749e+00,17.102398,3.69213e+02,6.92693e+00,18.933197,3.85623e+03,1.24029e+01,15.796514,3.136684,,,0,,,,,
