angDist,_RAJ2000,_DEJ2000,recno,ID,RA2000,DE2000,Vmag,e_Vmag,o_Vmag,B-V,e_B-V,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.144967,28.7362917,37.9746944,13,215,01 54 56.71,+37 58 28.9,11.4,,,0.43,,28.7363390779247,37.9747094582676,0.001,0.001,90,342744029514480512,28.73639343613,0.0556,37.97465899357,0.0391,2.2149,0.0604,9.952,0.096,-11.721,0.092,0,5.45830e+05,2.69146e+02,11.345722,3.25755e+05,8.81778e+02,11.569162,3.23243e+05,4.02653e+02,10.988097,0.581065,5.54,1.80,2,6590.94,0.6500,0.3380,1.59,4.303
0.254394,28.7405,38.1837222,14,219,01 54 57.72,+38 11 01.4,10.992,0.005,2,0.369,0.006,28.7405857850752,38.1837010636365,0.001,0.001,0,343124559320926976,28.74064188936,0.0403,38.18365044970,0.0348,2.1142,0.0477,10.243,0.072,-11.755,0.081,0,8.16955e+05,4.17546e+02,10.907869,4.98249e+05,9.64956e+02,11.107773,4.66007e+05,3.16954e+02,10.590939,0.516834,8.57,1.47,5,6913.25,,,1.86,7.085
0.134716,28.7485417,37.4832778,15,222,01 54 59.65,+37 28 59.8,11.651,0.009,2,0.489,0.007,28.7485566655137,37.4833132866916,0.001,0.001,0,342539756573295616,28.74860359580,0.0348,37.48326418510,0.0323,2.2555,0.0389,8.649,0.069,-11.404,0.074,0,4.74583e+05,2.00627e+02,11.497585,2.67911e+05,3.75767e+02,11.781413,2.99123e+05,2.74208e+02,11.072296,0.709117,3.41,1.73,6,6139.80,0.8653,0.3755,1.68,3.628
0.282986,28.761875,38.27725,16,237,01 55 02.85,+38 16 38.1,12.418,0.0,1,0.519,0.0,28.7618262987164,38.2773186835205,0.001,0.001,0,343138234496793600,28.76187894022,0.0357,38.27726828379,0.0324,2.2471,0.0389,9.598,0.067,-11.706,0.072,0,2.32800e+05,4.69090e+01,12.270909,1.31321e+05,2.33295e+02,12.555553,1.47319e+05,1.41012e+02,11.841270,0.714284,4.99,1.56,6,6249.33,0.2010,0.0867,1.14,1.788
0.271621,28.7797083,37.5435833,17,245,01 55 07.13,+37 32 36.9,14.19,,,0.66,,28.7796356771053,37.5436320549869,0.001,0.001,0,342540516783942016,28.77968634823,0.0236,37.54357841739,0.0293,1.5350,0.0314,9.331,0.057,-12.458,0.077,0,4.77483e+04,1.57578e+01,13.990972,2.44507e+04,4.21308e+01,14.380660,3.34703e+04,5.33119e+01,13.450272,0.930388,,,0,5487.50,0.1750,0.0740,1.00,0.819
0.036566,28.7975417,37.9978889,18,255,01 55 11.41,+37 59 52.4,12.493,0.01,2,0.562,0.0,28.7975463389187,37.9978983766689,0.001,0.001,90,343119134778149120,28.79759850840,0.0505,37.99784780856,0.0331,2.2983,0.0520,9.548,0.081,-11.745,0.076,0,2.09524e+05,6.35023e+01,12.385282,1.17277e+05,1.96007e+02,12.678352,1.33564e+05,1.13973e+02,11.947697,0.730656,6.99,3.53,5,6145.97,0.0735,0.0260,1.10,1.542
0.163619,28.8025833,37.8373333,19,259,01 55 12.62,+37 50 14.4,9.496,0.013,7,0.954,0.006,28.8026021951020,37.8373762300899,0.001,0.001,0,342554191959774720,28.80265551345,0.0435,37.83732455161,0.0367,2.0815,0.0493,9.780,0.082,-12.003,0.090,0,3.81928e+06,1.48651e+03,9.233413,1.75401e+06,2.94155e+03,9.741306,2.88749e+06,4.85058e+03,8.610619,1.130688,5.29,0.35,2,4928.88,,,8.57,39.066
0.107681,28.8137083,37.842,20,264,01 55 15.29,+37 50 31.2,9.569,0.005,4,0.996,0.003,28.8137212394705,37.8420281117651,0.001,0.001,0,342554187663431424,28.81377396028,0.0407,37.84197721544,0.0352,2.1011,0.0474,9.670,0.078,-11.821,0.082,0,3.66545e+06,1.54875e+03,9.278048,1.65188e+06,4.14674e+03,9.806444,2.80347e+06,4.25152e+03,8.642678,1.163766,5.38,0.20,2,4953.00,,,8.21,36.588
0.152897,28.84225,37.5938333,21,288,01 55 22.14,+37 35 37.8,14.07,,,0.66,,28.8421965829460,37.5938297814543,0.001,0.001,90,342546461018669696,28.84227265261,0.0239,37.59379542550,0.0200,0.9364,0.0244,13.999,0.050,-7.979,0.048,0,5.24036e+04,1.97989e+01,13.889962,2.73711e+04,2.74921e+01,14.258156,3.60325e+04,3.74040e+01,13.370183,0.887973,,,0,5589.05,,,1.65,2.393
0.265401,28.8537917,37.9175278,22,296,01 55 24.91,+37 55 03.1,,,,,,28.8537283129038,37.9175819703745,0.001,0.001,90,342930259296346752,28.85378126862,0.0446,37.91753189709,0.0297,2.2405,0.0462,9.703,0.075,-11.630,0.063,0,3.14187e+04,2.29603e+01,14.445396,1.41749e+04,4.20483e+01,14.972587,2.45973e+04,7.33453e+01,13.784703,1.187883,,,0,5030.91,0.0110,0.0160,0.69,0.271
0.282772,28.861625,37.4218889,23,299,01 55 26.79,+37 25 18.8,14.85,,,0.1,,28.8615437182257,37.4218441484475,0.001,0.001,0,342527082126256512,28.86156960341,0.0283,37.42185056948,0.0389,0.6882,0.0372,4.775,0.067,1.491,0.094,0,3.01191e+04,1.07796e+01,14.491262,1.74193e+04,3.83840e+01,14.748809,1.88646e+04,2.25684e+01,14.072803,0.676006,,,0,6400.82,0.0323,0.0175,1.28,2.462
0.289880,28.8590833,38.1394444,24,300,01 55 26.18,+38 08 22.0,13.61,,,0.7,,28.8590220644070,38.1395089305711,0.001,0.001,0,343121780477992576,28.85907147371,0.0263,38.13946031735,0.0221,2.2855,0.0316,9.026,0.046,-11.291,0.050,0,8.17560e+04,6.95464e+01,13.407066,4.11549e+04,1.74917e+02,13.815334,5.86945e+04,1.35786e+02,12.840426,0.974908,,,0,5347.00,0.1040,0.0490,0.93,0.643
0.152682,28.8653333,37.5679167,25,305,01 55 27.68,+37 34 04.5,10.152,0.003,4,0.411,0.001,28.8653463307214,37.5679578346843,0.032,0.029,90,342534641268676224,28.86546175110,1.0047,37.56791121247,0.9003,-3.0798,0.9725,21.248,2.076,-10.828,1.898,0,1.80889e+06,9.07894e+02,10.044837,1.07236e+06,2.46241e+03,10.275539,1.06129e+06,3.33901e+03,9.697340,0.578199,8.93,4.55,6,6642.55,,,,
0.045277,28.8652917,37.9986667,26,308,01 55 27.67,+37 59 55.2,9.285,0.011,4,0.966,0.009,28.8652950880912,37.9986789902859,0.002,0.001,0,343118619382072832,28.86534869101,0.0560,37.99862627486,0.0432,2.2509,0.0663,9.811,0.094,-12.244,0.099,0,4.61282e+06,1.74437e+03,9.028449,2.12746e+06,6.91272e+03,9.531734,3.46738e+06,6.51561e+03,8.411917,1.119818,5.63,0.11,2,4956.45,,,8.59,40.090
0.054247,28.87225,37.6366389,27,312,01 55 29.34,+37 38 11.9,13.82,,,0.67,,28.8722334276851,37.6366314952781,0.001,0.001,0,342546907695261952,28.87225508353,0.0214,37.63660978058,0.0192,1.2176,0.0237,3.983,0.045,-5.043,0.046,1,6.50345e+04,1.81204e+01,13.655506,3.41556e+04,5.27242e+01,14.017733,4.42793e+04,7.56066e+01,13.146418,0.871315,,,0,5509.15,0.4215,0.2228,1.46,1.770
0.120974,28.8720417,37.8406111,28,313,01 55 29.29,+37 50 26.2,9.968,0.013,5,0.47,0.001,28.8720523048791,37.8406436434789,0.009,0.009,90,342553814002652160,28.87212915697,0.3022,37.84058902826,0.3254,6.1314,0.4029,14.096,0.561,-12.685,0.552,0,2.19762e+06,2.28103e+03,9.833484,1.27513e+06,2.23561e+03,10.087503,1.34265e+06,2.37840e+03,9.442010,0.645494,,,0,6562.41,0.0477,0.0183,1.16,2.261
0.180939,28.892625,38.2677222,29,335,01 55 34.23,+38 16 03.8,10.522,0.006,2,0.372,0.003,28.8926687818792,38.2676855317112,0.001,0.001,0,343131568707550848,28.89272285123,0.0363,38.26763545824,0.0353,2.1988,0.0426,9.860,0.073,-11.630,0.082,0,1.27666e+06,6.22283e+02,10.423177,7.71231e+05,1.02298e+03,10.633427,7.29472e+05,8.60766e+02,10.104398,0.529029,4.13,4.97,5,6908.10,0.8082,0.4433,2.23,10.236
0.114839,28.9140417,37.8812222,30,350,01 55 39.37,+37 52 52.4,8.922,0.002,3,1.011,0.006,28.9140467045651,37.8812538543221,0.002,0.001,90,342929297223676160,28.91409908587,0.0492,37.88120244392,0.0366,2.1578,0.0487,9.602,0.102,-11.940,0.094,1,6.52954e+06,1.68745e+03,8.651159,2.95559e+06,3.33972e+03,9.174779,5.02088e+06,9.22741e+03,8.009972,1.164807,5.70,0.23,4,4913.95,,,10.90,62.367
0.268403,28.926625,37.63175,31,356,01 55 42.39,+37 37 54.3,9.161,0.003,3,1.01,0.001,28.9266290103961,37.6318244886183,0.002,0.001,0,342536702852966784,28.92668130892,0.0412,37.63177410884,0.0404,2.1741,0.0491,9.620,0.084,-11.701,0.097,0,5.27923e+06,1.80110e+03,8.881938,2.37137e+06,4.99101e+03,9.413890,4.05815e+06,1.00485e+04,8.241099,1.172791,4.93,0.18,4,4877.89,0.0730,0.0350,9.91,50.118
0.301478,28.9364583,37.9118056,32,361,01 55 44.75,+37 54 42.5,13.899,0.0,1,0.724,0.0,28.9364194226618,37.9118835245374,0.001,0.001,90,342929709540532480,28.93647377412,0.0381,37.91183374634,0.0246,2.1867,0.0388,9.959,0.062,-11.561,0.053,0,6.43611e+04,5.00716e+01,13.666807,3.21559e+04,1.19487e+02,14.083236,4.62075e+04,1.30386e+02,13.100140,0.983096,,,0,5347.33,0.0893,0.0470,0.87,0.553
0.142509,28.9372083,38.1392778,33,363,01 55 44.93,+38 08 21.4,10.42,,,0.36,,28.9372409298258,38.1392476600096,0.002,0.001,0,343121986635452544,28.93729322013,0.0418,38.13919538907,0.0373,2.2198,0.0506,9.552,0.078,-12.140,0.099,1,1.42233e+06,6.72316e+02,10.305862,8.53408e+05,1.43406e+03,10.523497,8.19249e+05,1.57150e+03,9.978380,0.545116,13.75,4.83,2,6712.20,,,2.47,11.167
0.211832,28.9412083,38.0032778,34,367,01 55 45.89,+38 00 11.8,13.87,,,0.7,,28.9411344469464,38.0032865072760,0.001,0.001,90,342932458319593472,28.94117599434,0.0414,38.00323704324,0.0270,2.0605,0.0437,7.604,0.063,-11.488,0.057,0,5.10885e+04,2.08633e+01,13.917557,2.44962e+04,5.54588e+01,14.378641,3.79001e+04,6.39309e+01,13.315319,1.063322,,,0,5088.00,0.2310,0.1260,0.92,0.515
0.090539,28.943625,37.4785278,35,368,01 55 46.47,+37 28 42.7,9.993,0.009,2,0.311,0.008,28.9436387557271,37.4785504569586,0.001,0.001,0,342530238925767808,28.94376510075,0.0450,37.47847707741,0.0366,2.3445,0.0539,23.287,0.075,-17.043,0.083,0,2.03446e+06,7.06321e+02,9.917245,1.26554e+06,1.44700e+03,10.095700,1.11540e+06,1.36350e+03,9.643342,0.452358,,,0,7231.00,0.8290,0.3953,2.42,14.449
0.149832,28.9475,37.7073333,36,372,01 55 47.40,+37 42 26.4,9.89,0.005,4,0.464,0.0,28.9475152031286,37.7073731441428,0.001,0.001,0,342549068062416256,28.94756848668,0.0494,37.70732207779,0.0401,2.2341,0.0553,9.791,0.079,-11.861,0.085,0,2.33981e+06,1.01098e+03,9.765413,1.34213e+06,2.02322e+03,10.031903,1.41960e+06,3.92166e+03,9.381504,0.650399,9.97,1.04,4,6372.30,,,3.50,18.154
0.173000,28.9575417,37.4509167,37,381,01 55 49.81,+37 27 03.3,12.36,,,0.45,,28.9574975140626,37.4509495460799,0.001,0.001,90,342530067127077376,28.95753253389,0.0356,37.45091169194,0.0306,1.3396,0.0403,6.457,0.075,-8.792,0.068,0,2.42688e+05,7.21784e+01,12.225744,1.40055e+05,2.86801e+02,12.485638,1.50215e+05,2.15401e+02,11.820138,0.665500,-4.67,3.94,6,6385.00,,,1.87,5.236
0.291640,28.9730833,37.8240556,38,391,01 55 53.54,+37 49 26.6,13.89,,,0.73,,28.9729821234294,37.8240688558783,0.001,0.001,90,342925792530368256,28.97303635373,0.0284,37.82401789321,0.0215,2.2081,0.0288,9.949,0.051,-11.836,0.049,0,6.40475e+04,2.91117e+01,13.672111,3.20715e+04,5.98195e+01,14.086092,4.59117e+04,1.21990e+02,13.107112,0.978980,,,0,5364.00,0.1552,0.0757,0.85,0.539
0.146879,28.978125,37.8666944,39,394,01 55 54.75,+37 52 00.1,8.076,0.003,2,0.972,0.0,28.9781634779262,37.8667216378982,0.002,0.002,90,342926411005655040,28.97815811132,0.0642,37.86667714974,0.0480,3.6459,0.0696,-0.984,0.120,-10.333,0.106,0,1.40640e+07,5.79556e+03,7.818097,6.38621e+06,1.77933e+04,8.338281,1.07168e+07,2.88598e+04,7.186753,1.151528,-21.31,0.17,8,4979.22,0.3753,0.1673,9.15,46.349
0.167118,28.981375,37.4758889,40,397,01 55 55.53,+37 28 33.2,9.831,0.0,3,0.477,0.005,28.9813870117067,37.4759343324658,0.001,0.001,0,342530586819560064,28.98143788830,0.0375,37.47588242121,0.0323,2.2184,0.0441,9.378,0.070,-12.057,0.072,0,2.48721e+06,1.01418e+03,9.699086,1.41067e+06,1.70997e+03,9.977825,1.53056e+06,2.16618e+03,9.299793,0.678032,10.76,2.70,4,6112.65,,,3.95,19.670
0.582458,28.991875,38.0173056,41,406,01 55 58.05,+38 01 02.3,,,,,,28.9917178995917,38.0174098060257,0.002,0.001,0,342932350944985472,28.99177123707,0.0378,38.01736183591,0.0451,2.1317,0.0552,9.760,0.091,-11.141,0.117,1,2.65478e+04,1.74756e+01,14.628293,1.17235e+04,2.16428e+01,15.178749,2.13977e+04,3.50463e+01,13.936005,1.242744,,,0,4975.00,0.2283,0.1100,0.68,0.256
